#Targets are defined as: Name;Latitude;Longitude;MinElevation;MaxCloudCover;exposure;capture_mode night_imaging. The higher the number; the higher the priority. Default capture mode; valid_until (iso-format)
menindee;-32.34;142.3;40;90;15;wide;0;
malpasdam;-30.27913157644037;151.7385707620185;40;40;15;wide;0;
wavescisbridge;30.195822776461537;-90.12332011505328;88;5;30;wide;0;
straitofgeorgia;49.3;-123.77;40;20;35;wide;0;
vancouver;49.11;-123.12;40;15;35;wide;0;
blubberbay;49.8;-124.62;40;20;35;wide;0;
deepbay;49.58407;-124.72633;40;20;35;wide;0;
whalersbay;48.89;-123.33;40;20;35;wide;0;
agamemnonChannel;49.68243;-124.07473;50;20;35;wide;0;
mjosa;60.68686983241218;11.025711547867214;40;35;35;wide;0;
frohavet;63.70;9.34;40;20;40;wide;0;
vilnius;54.6904145807035;25.270145451696617;50;1;30;wide;0;
rrvplaya;38.50;-115.69;50;10;30;quaternion;0;
lacrau;43.5617;4.8494;50;20;35;wide;0;
gobabeb;-23.602;15.126;50;5;20;wide;0;
losangeles;33.564;-118.118;60;1;30;wide;0;
losangelesnight;33.60;-118.10;50;0;999;wide;1;
trondheim;63.50;10.39;50;15;50;wide;0;
trondheimnight;63.50;10.39;50;0;999;wide;1;
buvika;63.32;10.18;40;20;40;wide;0;
trondheimnorth;63.54;10.32;30;20;40;wide;0;
ingdalen;63.55;9.84;40;20;50;wide;0;
lakeanoya;63.21;10.18;40;20;40;wide;0;
solbergstrand;59.62;10.65;60;1;40;wide;0;
stjordal;63.46;10.87;40;20;40;wide;0;
losmanzanosfire;-41.466268501775325;-71.73308406053368;40;20;30;wide;0;
elbolsonfire;-41.875799;-71.566923;40;20;30;wide;0;
lakecanyon;34.547839;-118.579738;50;10;30;wide;0;
frohavetnorth;64.09;9.43;40;20;50;wide;0;
frohavetwest;63.362667177042766;10.002237784050084;40;20;50;wide;0;
frohavetsouth;63.11;6.50;40;20;50;wide;0;
palgrunden;58.755;13.152;50;30;35;wide;0;
ariake;33.114;130.290;50;5;30;wide;0;
aeronetvenice;45.314;12.508;40;20;40;wide;0;
gustav;58.594;17.467;50;30;35;wide;0;
irbe;57.751;21.723;50;30;35;wide;0;
