name,latitude,longitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
trondheim,63.50,10.39,50,15,2720,50,wide,1,"[datetime.datetime(2025, 2, 12, 20, 3, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 50, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 20, 4, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 21, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 49, tzinfo=datetime.timezone.utc)]"
buvika,63.32,10.18,40,20,2710,40,wide,0,"[datetime.datetime(2025, 2, 12, 10, 54, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 25, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 54, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 22, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 21, tzinfo=datetime.timezone.utc)]"
trondheimnorth,63.54,10.32,30,20,2709,40,wide,0,"[datetime.datetime(2025, 2, 12, 10, 53, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 30, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 3, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 46, 48, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 55, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 22, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 31, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 4, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 50, tzinfo=datetime.timezone.utc)]"
frohavet,63.70,9.34,40,20,2700,40,wide,0,"[datetime.datetime(2025, 2, 12, 10, 54, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 38, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 54, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 21, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 10, tzinfo=datetime.timezone.utc)]"
ingdalen,63.55,9.84,30,20,2690,50,wide,0,"[datetime.datetime(2025, 2, 12, 10, 53, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 30, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 3, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 46, 58, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 55, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 22, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 31, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 4, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 49, tzinfo=datetime.timezone.utc)]"
lakeanoya,63.21,10.18,30,20,2670,40,wide,0,"[datetime.datetime(2025, 2, 12, 10, 53, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 30, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 3, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 46, 53, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 55, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 22, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 31, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 4, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 56, tzinfo=datetime.timezone.utc)]"
stjordal,63.46,10.87,40,20,2661,40,wide,0,"[datetime.datetime(2025, 2, 12, 10, 54, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 31, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 21, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 54, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 21, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 19, 30, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 21, tzinfo=datetime.timezone.utc)]"
frohavetnorth,64.09,9.43,40,20,2650,50,wide,0,"[datetime.datetime(2025, 2, 12, 10, 54, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 31, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 54, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 21, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 3, tzinfo=datetime.timezone.utc)]"
frohavetwest,64.03,8.50,40,20,2640,50,wide,0,"[datetime.datetime(2025, 2, 12, 10, 54, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 34, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 54, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 5, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 21, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 57, tzinfo=datetime.timezone.utc)]"
frohavetsouth,63.11,6.50,40,20,2630,50,wide,0,"[datetime.datetime(2025, 2, 12, 10, 54, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 3, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 20, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 3, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 48, 25, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 2, 12, 10, 55, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 12, 20, 4, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 10, 22, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 13, 21, 4, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 2, 14, 9, 47, 41, tzinfo=datetime.timezone.utc)]"
