Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime

ingdalen,4165,666.522497083,30,2,2690,2024-11-24T09:00:00.0
frohavet,1344,666.522497083,30,2,2700,2024-11-24T09:00:00.0
lakeanoya,4162,666.522497083,30,2,2670,2024-11-24T09:00:00.0
buvika,1341,666.522497083,30,2,2710,2024-11-24T09:00:00.0
griegesperanza,1189,666.522497083,30,2,2620,2024-11-24T09:00:00.0
trondheimnorth,54,666.522497083,30,2,2709,2024-11-24T09:00:00.0
trondheim,3061,666.522497083,30,2,2720,2024-11-24T09:00:00.0

ingdalen,54,1035.422803166,30,3,2690,2024-11-24T09:00:00.0
frohavet,4163,1035.422803166,30,3,2700,2024-11-24T09:00:00.0
lakeanoya,240,1035.422803166,30,3,2670,2024-11-24T09:00:00.0
griegnootka,2463,1035.422803166,30,3,2600,2024-11-24T09:00:00.0
griegesperanza,1188,1035.422803166,30,3,2620,2024-11-24T09:00:00.0
trondheimnorth,3059,1035.422803166,30,3,2709,2024-11-24T09:00:00.0
trondheim,1342,1035.422803166,30,3,2720,2024-11-24T09:00:00.0

ingdalen,53,927.853669084,30,4,2690,2024-11-24T09:00:00.0
frohavet,3061,927.853669084,30,4,2700,2024-11-24T09:00:00.0
buvika,4163,927.853669084,30,4,2710,2024-11-24T09:00:00.0
griegesperanza,2463,927.853669084,30,4,2620,2024-11-24T09:00:00.0
griegclio,1188,927.853669084,30,4,2610,2024-11-24T09:00:00.0
trondheimnorth,239,927.853669084,30,4,2709,2024-11-24T09:00:00.0
trondheim,1342,927.853669084,30,4,2720,2024-11-24T09:00:00.0

ingdalen,54,947.616159291,30,5,2690,2024-11-24T09:00:00.0
frohavet,4164,947.616159291,30,5,2700,2024-11-24T09:00:00.0
buvika,1341,947.616159291,30,5,2710,2024-11-24T09:00:00.0
griegesperanza,1188,947.616159291,30,5,2620,2024-11-24T09:00:00.0
griegclio,2463,947.616159291,30,5,2610,2024-11-24T09:00:00.0
trondheimnorth,239,947.616159291,30,5,2709,2024-11-24T09:00:00.0
trondheim,3061,947.616159291,30,5,2720,2024-11-24T09:00:00.0

ingdalen,4589,2475.561792167,20,3,2690,2024-11-24T09:00:00.0
frohavet,4593,2475.561792167,20,3,2700,2024-11-24T09:00:00.0
lakeanoya,2010,2475.561792167,20,3,2670,2024-11-24T09:00:00.0
