NrOf_targets,NrOf_captures,Time_elapsed,Discretization,Cap_per_time, max_captures

124,250,666.522497083,30,2,7

125,250,1035.422803166,30,3,7

120,250,927.853669084,30,4,7

118,250,947.616159291,30,5,7

148,378,2475.561792167,20,3,7

142,378,2446.130402917,20,4,7

149,378,2846.24504225,20,5,7

119,250,2816.678011459,30,2,40

115,250,3494.105405834,30,3,40

123,250,4396.227635792,30,4,40

123,548,9193.896727375,20,2,40

123,548,8235.098710167,20,3,40

123,548,9758.8537035,20,4,40

110,361,4062.021706083,30,4,40

97,223,1471.674751291,50,4,40
115,234,455.9558504,50,1,7
