name,longitude,latitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
trondheim,63.50,10.39,50,15,2720,50,wide,1,"[datetime.datetime(2024, 11, 24, 20, 10, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 30, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 38, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 20, 11, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 30, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 27, tzinfo=datetime.timezone.utc), '', '', '', '']"
buvika,63.32,10.18,40,20,2710,40,wide,0,"[datetime.datetime(2024, 11, 24, 20, 10, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 5, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 20, 11, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 57, tzinfo=datetime.timezone.utc), '', '', '', '']"
trondheimnorth,63.54,10.32,30,20,2709,40,wide,0,"[datetime.datetime(2024, 11, 24, 9, 26, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 10, 59, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 9, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 40, 33, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2024, 11, 24, 9, 27, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 11, 0, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 12, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 36, tzinfo=datetime.timezone.utc), '', '']"
frohavet,63.70,9.34,40,20,2700,40,wide,0,"[datetime.datetime(2024, 11, 24, 20, 10, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 16, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 20, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 1, tzinfo=datetime.timezone.utc), '', '', '', '']"
ingdalen,63.55,9.84,30,20,2690,50,wide,0,"[datetime.datetime(2024, 11, 24, 9, 26, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 10, 59, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 9, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 40, 35, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2024, 11, 24, 9, 27, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 11, 0, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 12, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 35, tzinfo=datetime.timezone.utc), '', '']"
lakeanoya,63.21,10.18,30,20,2670,40,wide,0,"[datetime.datetime(2024, 11, 24, 9, 26, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 10, 59, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 9, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 40, 31, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2024, 11, 24, 9, 27, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 11, 0, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 12, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 29, tzinfo=datetime.timezone.utc), '', '']"
stjordal,63.46,10.87,40,20,2661,40,wide,0,"[datetime.datetime(2024, 11, 24, 9, 27, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 10, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 1, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2024, 11, 24, 9, 26, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 11, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 30, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 2, tzinfo=datetime.timezone.utc), '', '', '']"
frohavetnorth,64.09,9.43,40,20,2650,50,wide,0,"[datetime.datetime(2024, 11, 24, 11, 0, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 10, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 19, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2024, 11, 24, 10, 59, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 12, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 30, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 11, tzinfo=datetime.timezone.utc), '', '', '']"
frohavetwest,64.03,8.50,40,20,2640,50,wide,0,"[datetime.datetime(2024, 11, 24, 10, 59, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 10, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 27, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2024, 11, 24, 10, 59, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 12, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 6, tzinfo=datetime.timezone.utc), '', '', '']"
frohavetsouth,63.11,6.50,40,20,2630,50,wide,0,"[datetime.datetime(2024, 11, 24, 10, 59, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 10, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 29, 54, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 11, 0, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 11, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 24, tzinfo=datetime.timezone.utc), '', '', '', '']"
