#Targets are defined as: Name;Latitude;Longitude;MinElevation;MaxCloudCover;Prority;exposure;capture_mode. The higher the number; the higher the priority. Default capture mode
trondheim;63.50;10.39;50;15;2720;50;wide;1
buvika;63.32;10.18;40;20;2710;40;wide;0
trondheimnorth;63.54;10.32;30;20;2709;40;wide;0
frohavet;63.70;9.34;40;20;2700;40;wide;0
ingdalen;63.55;9.84;30;20;2690;50;wide;0
lakeanoya;63.21;10.18;30;20;2670;40;wide;0
stjordal;63.46;10.87;40;20;2661;40;wide;0
frohavetnorth;64.09;9.43;40;20;2650;50;wide;0
frohavetwest;64.03;8.50;40;20;2640;50;wide;0
frohavetsouth;63.11;6.50;40;20;2630;50;wide;0
griegesperanza;49.88;-126.77;50;15;2620;40;wide;0
griegclio;50.60;-126.38;50;30;2610;40;wide;0
griegnootka;49.71;-126.58;50;30;2600;30;wide;0
griegokisollo;50.32;-125.26;50;30;2590;30;wide;0
catala;49.78;-127.1;40;15;2580;35;wide;0
vancouver;49.11;-123.12;40;15;2570;35;wide;0
blubberbay;49.8;-124.62;40;20;2560;35;wide;0
deepbay;49.46;-124.74;40;30;2550;35;wide;0
sechelt;49.3;-123.77;40;30;2540;35;wide;0
whalersbay;48.89;-123.33;40;30;2530;35;wide;0
checleset;49.58;-127.5;30;60;2520;35;wide;0
mjosa;60.7043;11.0459;40;20;2510;35;wide;0
campbellriver;50.01924387812201;-125.31197202271731;50;30;2500;40;wide;0
vigo;42.271441;-8.710142;60;30;2490;30;wide;0
griegloppa;70.27;22.34;50;10;2480;35;wide;0
grieghammerfest;70.51;23.53;40;15;2470;35;wide;0
griegnordkapp;70.93;25.75;60;5;2460;35;wide;0
rogaland;59.17;5.67;60;10;2450;35;wide;0
barentssea1;75.0313;26.0859;50;15;2440;45;wide;0
barentssea2;76.1483;29.6704;50;15;2435;45;wide;0
barentssea4;72.0984;42.5671;50;15;2430;45;wide;0
barentssea5;72.4790;47.3263;50;15;2425;45;wide;0
barentssea3;69.7891;38.6458;50;15;2432;45;wide;0
norwegiansea;65.4120;8.9138;50;15;2421;45;wide;0
ijsselmeer;52.7324;5.5132;50;15;2414;45;wide;0
englishatlantic;59.9411;-3.7930;50;15;2411;45;wide;0
falklandsatlantic;-54.3096;-60.7053;50;15;2410;45;wide;0
sanjorgegulf;-46.0317;-65.5414;50;15;2400;45;wide;0
atlantic1;46.8348;-48.5813;50;10;2390;40;wide;0
northsea;52.9864;2.7583;50;10;2380;40;wide;0
seaofazov;45.4941;36.6463;50;10;2365;35;wide;0
caspiansea1;44.9028;47.9987;60;5;2360;30;wide;0
caspiansea2;45.7185;50.1439;60;5;2350;30;wide;0
caspiansea3;38.5324;53.3624;60;5;2340;30;wide;0
northaustralia1;-13.6363;126.1688;60;5;2330;30;wide;0
northaustralia2;-15.6773;124.2246;60;5;2320;30;wide;0
igalikufjorden;60.81;-45.58;60;10;2310;25;wide;0
bredefjord;60.85;-46.61;60;1;2300;25;wide;0
svalbardnyaalesund;78.96;11.95;60;1;2280;35;wide;0
svalbardeidembukta;78.38;12.30;60;1;2270;35;wide;0
vanmijenfjorden;77.80;15.60;60;1;2260;50;wide;0
alesund;62.67;5.98;60;1;2250;40;wide;0
bergen;60.3661;5.3218;60;1;2240;40;wide;0
roervik;65.00;10.50;60;1;2230;50;wide;0
skagerrak;58.45;10.08;60;1;2220;35;wide;0
solbergstrand;59.62;10.65;60;1;2210;40;wide;0
fredrikstad;59.15;10.87;60;1;2200;35;wide;0
ytrehvaler;59.02;10.80;60;1;2190;35;wide;0
hardangerfjorden;60.18;6.05;60;1;2180;35;wide;0
vaeroeya;67.67;12.6;60;1;2170;35;wide;0
vardoe;70.34;31.1;60;1;2160;35;wide;0
andoeya;69.24;16.13;60;1;2150;35;wide;0
