name,latitude,longitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
trondheim,63.50,10.39,50,15,2720,50,wide,1,"[datetime.datetime(2025, 1, 21, 10, 31, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 44, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 32, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 0, 23, tzinfo=datetime.timezone.utc)]"
buvika,63.32,10.18,40,20,2710,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 35, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 32, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 0, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 32, tzinfo=datetime.timezone.utc)]"
trondheimnorth,63.54,10.32,30,20,2709,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 41, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 58, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 26, 56, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 33, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 43, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 1, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 44, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 28, 3, tzinfo=datetime.timezone.utc)]"
frohavet,63.70,9.34,40,20,2700,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 42, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 32, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 0, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 40, tzinfo=datetime.timezone.utc)]"
ingdalen,63.55,9.84,30,20,2690,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 41, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 58, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 27, 6, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 33, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 43, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 1, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 44, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 27, 58, tzinfo=datetime.timezone.utc)]"
lakeanoya,63.21,10.18,30,20,2670,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 10, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 41, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 58, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 27, 1, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 33, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 43, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 1, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 28, 8, tzinfo=datetime.timezone.utc)]"
stjordal,63.46,10.87,40,20,2661,40,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 41, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 44, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 32, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 0, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 24, tzinfo=datetime.timezone.utc)]"
frohavetnorth,64.09,9.43,40,20,2650,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 47, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 32, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 0, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 45, tzinfo=datetime.timezone.utc)]"
frohavetwest,64.03,8.50,40,20,2640,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 40, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 32, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 42, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 0, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 46, tzinfo=datetime.timezone.utc)]"
frohavetsouth,63.11,6.50,40,20,2630,50,wide,0,"[datetime.datetime(2025, 1, 21, 10, 31, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 9, 59, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 42, 22, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 33, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 0, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 43, 45, tzinfo=datetime.timezone.utc)]"
